fecha,CAD,GBP,JPY,USD,EUR
2002-01,1.4134681818182,0.6165931818182,117.1159090909091,0.8832863636364,1.0
2002-02,1.38798,0.6116025,116.232,0.870035,1.0
2002-03,1.39025,0.615735,114.7455,0.8758,1.0
2002-04,1.4007857142857,0.6140714285714,115.8095238095238,0.8858428571429,1.0
2002-05,1.4210090909091,0.6282272727273,115.8609090909091,0.917,1.0
2002-06,1.462705,0.64405,117.7985,0.95544,1.0
2002-07,1.5321347826087,0.6387,117.1069565217392,0.9921826086957,1.0
2002-08,1.5333181818182,0.6363318181818,116.3054545454545,0.9777590909091,1.0
2002-09,1.5434428571429,0.6305880952381,118.3804761904762,0.9807952380952,1.0
2002-10,1.5481217391304,0.6299413043478,121.5721739130435,0.9811086956522,1.0
2002-11,1.5735476190476,0.6370857142857,121.65,1.0013619047619,1.0
2002-12,1.587155,0.642175,124.198,1.018255,1.0
2003-01,1.6364272727273,0.6571090909091,126.1154545454546,1.0621863636364,1.0
2003-02,1.629925,0.6697725,128.604,1.077295,1.0
2003-03,1.5943,0.6825476190476,128.1561904761904,1.0806523809524,1.0
2003-04,1.58508,0.68902,130.115,1.08476,1.0
2003-05,1.6015857142857,0.713219047619,135.8285714285715,1.158180952381,1.0
2003-06,1.5797761904762,0.7022404761905,138.0504761904762,1.166280952381,1.0
2003-07,1.5693826086957,0.700447826087,134.9882608695652,1.1371826086957,1.0
2003-08,1.5569571428571,0.6991928571429,132.3780952380952,1.1138666666667,1.0
2003-09,1.5329909090909,0.6969272727273,128.9440909090909,1.1221727272727,1.0
2003-10,1.5488739130435,0.6976304347826,128.1182608695652,1.1691913043478,1.0
2003-11,1.536065,0.6927775,127.839,1.170195,1.0
2003-12,1.6131,0.7019571428571,132.4314285714285,1.2285619047619,1.0
2004-01,1.6346285714286,0.6921452380952,134.1309523809524,1.261319047619,1.0
2004-02,1.68173,0.6768975,134.779,1.264645,1.0
2004-03,1.6313913043478,0.6712413043478,133.1252173913043,1.2261652173913,1.0
2004-04,1.606825,0.665325,129.078,1.19854,1.0
2004-05,1.6541380952381,0.6715738095238,134.482380952381,1.2007238095238,1.0
2004-06,1.6491636363636,0.6642818181818,132.8609090909091,1.2138318181818,1.0
2004-07,1.6219681818182,0.6657568181818,134.0822727272727,1.2265863636364,1.0
2004-08,1.6006727272727,0.6694181818182,134.5386363636364,1.2175954545455,1.0
2004-09,1.5767181818182,0.6812977272727,134.5054545454546,1.2217818181818,1.0
2004-10,1.5600476190476,0.6914404761905,135.9709523809524,1.2489666666667,1.0
2004-11,1.5539545454545,0.6986204545455,136.0872727272727,1.2991363636364,1.0
2004-12,1.6332826086957,0.695,139.14,1.3407608695652,1.0
2005-01,1.6059714285714,0.6986666666667,135.6333333333333,1.3119285714286,1.0
2005-02,1.612755,0.68968,136.5495,1.301425,1.0
2005-03,1.6064,0.692330952381,138.8328571428571,1.3200666666667,1.0
2005-04,1.5991095238095,0.6829333333333,138.8361904761904,1.2937904761905,1.0
2005-05,1.5941818181818,0.6839931818182,135.3731818181818,1.2693954545455,1.0
2005-06,1.5110954545455,0.6689477272727,132.2159090909091,1.2164909090909,1.0
2005-07,1.473,0.6875642857143,134.7471428571428,1.203719047619,1.0
2005-08,1.4819347826087,0.6852695652174,135.9847826086956,1.2292434782609,1.0
2005-09,1.4451545454545,0.6775954545455,136.0631818181818,1.2256409090909,1.0
2005-10,1.4148666666667,0.6813666666667,138.0519047619048,1.2014523809524,1.0
2005-11,1.3943681818182,0.6793318181818,139.5913636363637,1.1785727272727,1.0
2005-12,1.3777666666667,0.6792214285714,140.5766666666667,1.1856095238095,1.0
2006-01,1.4024727272727,0.6859840909091,139.815,1.2103136363636,1.0
2006-02,1.372305,0.6829725,140.7675,1.193835,1.0
2006-03,1.3918869565217,0.689347826087,140.96,1.202,1.0
2006-04,1.4051888888889,0.6946277777778,143.5866666666667,1.2271166666667,1.0
2006-05,1.4172590909091,0.6832954545455,142.7031818181818,1.2769590909091,1.0
2006-06,1.4089045454545,0.6866590909091,145.11,1.2649954545455,1.0
2006-07,1.4303380952381,0.687819047619,146.6966666666667,1.2683666666667,1.0
2006-08,1.4337782608696,0.6766869565217,148.5347826086957,1.2811304347826,1.0
2006-09,1.4203238095238,0.6751071428571,148.992380952381,1.2727428571429,1.0
2006-10,1.4235318181818,0.6725431818182,149.6518181818182,1.2611045454545,1.0
2006-11,1.4634590909091,0.6739681818182,151.1054545454546,1.2881409090909,1.0
2006-12,1.5212,0.6728605263158,154.8247368421052,1.3212789473684,1.0
2007-01,1.5284772727273,0.6634068181818,156.5613636363636,1.2998636363636,1.0
2007-02,1.53091,0.6680025,157.6005,1.30742,1.0
2007-03,1.5472045454545,0.6802113636364,155.2409090909091,1.3241863636364,1.0
2007-04,1.5334157894737,0.6793368421053,160.6847368421053,1.3516157894737,1.0
2007-05,1.4795909090909,0.6813559090909,163.2190909090909,1.3511318181818,1.0
2007-06,1.4293333333333,0.6756238095238,164.5547619047619,1.3418571428571,1.0
2007-07,1.4417272727273,0.6744,166.7622727272727,1.3715590909091,1.0
2007-08,1.4420347826087,0.6776630434783,159.0526086956522,1.362247826087,1.0
2007-09,1.42727,0.68887,159.8195,1.389645,1.0
2007-10,1.389052173913,0.6961413043478,164.9478260869565,1.422747826087,1.0
2007-11,1.4163454545455,0.7089590909091,162.8909090909091,1.4683636363636,1.0
2007-12,1.4620052631579,0.7206368421053,163.5531578947368,1.4570368421053,1.0
2008-01,1.4861590909091,0.74725,158.6768181818182,1.4717909090909,1.0
2008-02,1.4740142857143,0.7509380952381,157.9690476190476,1.4748380952381,1.0
2008-03,1.5518736842105,0.7749394736842,156.5936842105263,1.5526526315789,1.0
2008-04,1.5964636363636,0.7948659090909,161.5618181818182,1.57505,1.0
2008-05,1.5530428571429,0.7920857142857,162.31,1.5557,1.0
2008-06,1.5802571428571,0.7915238095238,166.2642857142857,1.5552761904762,1.0
2008-07,1.5974391304348,0.7930760869565,168.4534782608696,1.5769695652174,1.0
